GO_ID	LEVEL	NAME
GO:0000136	6	alpha-1,6-mannosyltransferase complex
GO:0000137	6	Golgi cis cisterna
GO:0000138	6	Golgi trans cisterna
GO:0000139	6	Golgi membrane
GO:0000140	6	acylglycerone-phosphate reductase activity
GO:0000142	6	cellular bud neck contractile ring
GO:0000144	9	cellular bud neck septin ring
GO:0000145	4	exocyst
GO:0000146	9	microfilament motor activity
GO:0000147	9	actin cortical patch assembly
GO:0000148	5	1,3-beta-D-glucan synthase complex
GO:0000149	4	SNARE binding
GO:0000150	4	recombinase activity
GO:0000151	5	ubiquitin ligase complex
GO:0000152	6	nuclear ubiquitin ligase complex
GO:0000153	6	cytoplasmic ubiquitin ligase complex
GO:0000154	11	rRNA modification
GO:0000155	8	phosphorelay sensor kinase activity
GO:0000156	3	phosphorelay response regulator activity
GO:0000159	6	protein phosphatase type 2A complex
GO:0000160	7	phosphorelay signal transduction system
GO:0000161	12	osmosensory signaling MAPK cascade
GO:0000162	10	tryptophan biosynthetic process
GO:0000164	6	protein phosphatase type 1 complex
GO:0000165	10	MAPK cascade
GO:0000166	5	nucleotide binding
GO:0000167	12	activation of MAPKKK activity involved in osmosensory signaling pathway
GO:0000168	12	activation of MAPKK activity involved in osmosensory signaling pathway
GO:0000169	12	activation of MAPK activity involved in osmosensory signaling pathway
GO:0000170	4	sphingosine hydroxylase activity
GO:0000171	7	ribonuclease MRP activity
GO:0000172	5	ribonuclease MRP complex
GO:0000173	12	inactivation of MAPK activity involved in osmosensory signaling pathway
GO:0000175	9	3'-5'-exoribonuclease activity
GO:0000176	6	nuclear exosome (RNase complex)
GO:0000177	6	cytoplasmic exosome (RNase complex)
GO:0000178	5	exosome (RNase complex)
GO:0000179	9	rRNA (adenine-N6,N6-)-dimethyltransferase activity
GO:0000182	8	rDNA binding
GO:0000183	9	rDNA heterochromatin assembly
GO:0000184	11	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0000185	12	activation of MAPKKK activity
GO:0000186	12	activation of MAPKK activity
GO:0000187	12	activation of MAPK activity
GO:0000188	12	inactivation of MAPK activity
GO:0000196	12	cell wall integrity MAPK cascade
GO:0000197	12	activation of MAPKKK activity involved in cell wall organization or biogenesis
GO:0000198	12	activation of MAPKK activity involved in cell wall organization or biogenesis
GO:0000199	12	activation of MAPK activity involved in cell wall organization or biogenesis
GO:0000200	12	inactivation of MAPK activity involved in cell wall organization or biogenesis
GO:0000209	11	protein polyubiquitination
GO:0000210	8	NAD+ diphosphatase activity
GO:0000212	9	meiotic spindle organization
GO:0000213	9	tRNA-intron endonuclease activity
GO:0000214	6	tRNA-intron endonuclease complex
GO:0000215	6	tRNA 2'-phosphotransferase activity
GO:0000217	6	DNA secondary structure binding
GO:0000220	6	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	6	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000222	6	plasma membrane proton-transporting V-type ATPase, V0 domain
GO:0000223	6	plasma membrane proton-transporting V-type ATPase, V1 domain
GO:0000224	6	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	6	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000226	7	microtubule cytoskeleton organization
GO:0000227	11	oxaloacetate secondary active transmembrane transporter activity
GO:0000228	7	nuclear chromosome
GO:0000229	7	cytoplasmic chromosome
GO:0000234	7	phosphoethanolamine N-methyltransferase activity
GO:0000235	9	astral microtubule
GO:0000236	5	mitotic prometaphase
GO:0000237	6	leptotene
GO:0000238	6	zygotene
GO:0000239	6	pachytene
GO:0000240	6	diplotene
GO:0000241	6	diakinesis
GO:0000242	3	pericentriolar material
GO:0000243	6	commitment complex
GO:0000244	10	spliceosomal tri-snRNP complex assembly
GO:0000245	9	spliceosomal complex assembly
GO:0000246	6	delta24(24-1) sterol reductase activity
GO:0000247	6	C-8 sterol isomerase activity
GO:0000248	6	C-5 sterol desaturase activity
GO:0000249	6	C-22 sterol desaturase activity
GO:0000250	6	lanosterol synthase activity
GO:0000252	6	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000253	6	3-keto sterol reductase activity
GO:0000254	6	C-4 methylsterol oxidase activity
GO:0000255	6	allantoin metabolic process
GO:0000256	7	allantoin catabolic process
GO:0000257	6	nitrilase activity
GO:0000262	8	mitochondrial chromosome
GO:0000266	7	mitochondrial fission
GO:0000268	6	peroxisome targeting sequence binding
GO:0000269	8	toxin export channel activity
GO:0000270	7	peptidoglycan metabolic process
GO:0000271	6	polysaccharide biosynthetic process
GO:0000272	6	polysaccharide catabolic process
GO:0000274	5	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	6	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GO:0000276	6	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000277	9	[cytochrome c]-lysine N-methyltransferase activity
GO:0000278	4	mitotic cell cycle
GO:0000279	4	M phase
GO:0000280	7	nuclear division
GO:0000281	6	mitotic cytokinesis
GO:0000282	5	cellular bud site selection
GO:0000285	7	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000286	5	alanine dehydrogenase activity
GO:0000287	6	magnesium ion binding
GO:0000288	11	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0000289	11	nuclear-transcribed mRNA poly(A) tail shortening
GO:0000290	11	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000291	11	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0000292	9	RNA fragment catabolic process
GO:0000293	6	ferric-chelate reductase activity
GO:0000294	11	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay
GO:0000295	7	adenine nucleotide transmembrane transporter activity
GO:0000296	7	spermine transport
GO:0000297	6	spermine transmembrane transporter activity
GO:0000298	7	endopolyphosphatase activity
GO:0000301	8	retrograde transport, vesicle recycling within Golgi
GO:0000302	5	response to reactive oxygen species
GO:0000303	7	response to superoxide
GO:0000304	6	response to singlet oxygen
GO:0000305	6	response to oxygen radical
GO:0000306	5	extrinsic component of vacuolar membrane
GO:0000307	8	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	9	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000309	7	nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	7	xanthine phosphoribosyltransferase activity
GO:0000311	7	plastid large ribosomal subunit
GO:0000312	7	plastid small ribosomal subunit
GO:0000313	7	organellar ribosome
GO:0000314	6	organellar small ribosomal subunit
GO:0000315	6	organellar large ribosomal subunit
GO:0000316	8	sulfite transport
GO:0000319	7	sulfite transmembrane transporter activity
GO:0000320	4	re-entry into mitotic cell cycle
GO:0000321	9	re-entry into mitotic cell cycle after pheromone arrest
GO:0000322	7	storage vacuole
GO:0000323	7	lytic vacuole
GO:0000324	8	fungal-type vacuole
GO:0000325	7	plant-type vacuole
GO:0000326	8	protein storage vacuole
GO:0000327	8	lytic vacuole within protein storage vacuole
GO:0000328	7	fungal-type vacuole lumen
GO:0000329	8	fungal-type vacuole membrane
GO:0000330	7	plant-type vacuole lumen
GO:0000331	8	contractile vacuole
GO:0000332	7	template for synthesis of G-rich strand of telomere DNA activity
GO:0000333	7	telomerase catalytic core complex
GO:0000334	6	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000335	10	negative regulation of transposition, DNA-mediated
GO:0000336	10	positive regulation of transposition, DNA-mediated
GO:0000337	9	regulation of transposition, DNA-mediated
GO:0000338	10	protein deneddylation
GO:0000339	6	RNA cap binding
GO:0000340	7	RNA 7-methylguanosine cap binding
GO:0000341	7	RNA trimethylguanosine cap binding
GO:0000342	7	RNA cap 4 binding
GO:0000343	9	plastid-encoded plastid RNA polymerase complex A
GO:0000344	9	plastid-encoded plastid RNA polymerase complex B
GO:0000345	8	cytosolic DNA-directed RNA polymerase complex
GO:0000346	3	transcription export complex
GO:0000347	3	THO complex
GO:0000348	9	mRNA branch site recognition
GO:0000349	9	generation of catalytic spliceosome for first transesterification step
GO:0000350	9	generation of catalytic spliceosome for second transesterification step
GO:0000352	9	trans assembly of SL-containing precatalytic spliceosome
GO:0000353	9	formation of quadruple SL/U4/U5/U6 snRNP
GO:0000354	9	cis assembly of pre-catalytic spliceosome
GO:0000365	12	mRNA trans splicing, via spliceosome
GO:0000366	12	intergenic mRNA trans splicing
GO:0000372	12	Group I intron splicing
GO:0000373	12	Group II intron splicing
GO:0000374	12	Group III intron splicing
GO:0000375	10	RNA splicing, via transesterification reactions
GO:0000376	11	RNA splicing, via transesterification reactions with guanosine as nucleophile
GO:0000377	11	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000378	8	RNA exon ligation
GO:0000379	9	tRNA-type intron splice site recognition and cleavage
GO:0000380	12	alternative mRNA splicing, via spliceosome
GO:0000381	11	regulation of alternative mRNA splicing, via spliceosome
GO:0000384	4	first spliceosomal transesterification activity
GO:0000386	4	second spliceosomal transesterification activity
GO:0000387	9	spliceosomal snRNP assembly
GO:0000388	9	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389	10	mRNA 3'-splice site recognition
GO:0000390	8	spliceosomal complex disassembly
GO:0000393	9	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	10	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	10	mRNA 5'-splice site recognition
GO:0000398	12	mRNA splicing, via spliceosome
GO:0000399	3	cellular bud neck septin structure
GO:0000400	7	four-way junction DNA binding
GO:0000401	8	open form four-way junction DNA binding
GO:0000402	8	crossed form four-way junction DNA binding
GO:0000403	7	Y-form DNA binding
GO:0000404	9	heteroduplex DNA loop binding
GO:0000405	7	bubble DNA binding
GO:0000406	7	double-strand/single-strand DNA junction binding
GO:0000407	3	phagophore assembly site
GO:0000408	3	EKC/KEOPS complex
GO:0000409	11	regulation of transcription by galactose
GO:0000410	12	carbon catabolite repression of transcription by galactose
GO:0000411	12	positive regulation of transcription by galactose
GO:0000412	11	histone peptidyl-prolyl isomerization
GO:0000413	10	protein peptidyl-prolyl isomerization
GO:0000414	11	regulation of histone H3-K36 methylation
GO:0000415	12	negative regulation of histone H3-K36 methylation
GO:0000416	12	positive regulation of histone H3-K36 methylation
GO:0000417	3	HIR complex
GO:0000418	9	RNA polymerase IV complex
GO:0000419	9	RNA polymerase V complex
GO:0000421	7	autophagosome membrane
GO:0000422	8	autophagy of mitochondrion
GO:0000423	9	mitophagy
GO:0000424	9	micromitophagy
GO:0000425	8	pexophagy
GO:0000426	7	micropexophagy
GO:0000427	8	plastid-encoded plastid RNA polymerase complex
GO:0000428	7	DNA-directed RNA polymerase complex
GO:0000429	12	carbon catabolite regulation of transcription from RNA polymerase II promoter
GO:0000430	12	regulation of transcription from RNA polymerase II promoter by glucose
GO:0000431	12	regulation of transcription from RNA polymerase II promoter by galactose
GO:0000432	12	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000433	12	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
GO:0000434	12	carbon catabolite repression of transcription from RNA polymerase II promoter by galactose
GO:0000435	12	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	12	carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0000437	12	carbon catabolite repression of transcription from RNA polymerase II promoter
GO:0000438	6	core TFIIH complex portion of holo TFIIH complex
GO:0000439	5	transcription factor TFIIH core complex
GO:0000440	6	core TFIIH complex portion of NEF3 complex
GO:0000444	3	MIS12/MIND type complex
GO:0000445	4	THO complex part of transcription export complex
GO:0000446	4	nucleoplasmic THO complex
GO:0000447	12	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	12	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000449	11	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO:0000450	11	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)
GO:0000451	12	rRNA 2'-O-methylation
GO:0000452	12	snoRNA guided rRNA 2'-O-methylation
GO:0000453	12	enzyme-directed rRNA 2'-O-methylation
GO:0000454	12	snoRNA guided rRNA pseudouridine synthesis
GO:0000455	12	enzyme-directed rRNA pseudouridine synthesis
GO:0000457	12	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO:0000458	12	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO:0000459	10	exonucleolytic trimming involved in rRNA processing
GO:0000460	11	maturation of 5.8S rRNA
GO:0000461	12	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000462	12	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000463	12	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000464	12	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000465	12	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000466	12	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	12	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000468	12	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	9	cleavage involved in rRNA processing
GO:0000470	11	maturation of LSU-rRNA
GO:0000471	12	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000472	12	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000473	12	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000474	12	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000475	11	maturation of 2S rRNA
GO:0000476	11	maturation of 4.5S rRNA
GO:0000477	12	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	10	endonucleolytic cleavage involved in rRNA processing
GO:0000479	11	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	12	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	11	maturation of 5S rRNA
GO:0000482	12	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000483	11	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000484	12	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000485	12	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000486	12	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000487	12	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000488	12	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000489	12	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000491	9	small nucleolar ribonucleoprotein complex assembly
GO:0000492	10	box C/D snoRNP assembly
GO:0000493	10	box H/ACA snoRNP assembly
GO:0000494	12	box C/D snoRNA 3'-end processing
GO:0000495	12	box H/ACA snoRNA 3'-end processing
GO:0000497	6	DNA template activity
GO:0000500	5	RNA polymerase I upstream activating factor complex
GO:0000502	6	proteasome complex
GO:0000506	5	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000578	5	embryonic axis specification
GO:0000700	7	mismatch base pair DNA N-glycosylase activity
GO:0000701	8	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000702	7	oxidized base lesion DNA N-glycosylase activity
GO:0000703	8	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0000704	7	pyrimidine dimer DNA N-glycosylase activity
GO:0000705	10	achiasmate meiosis I
GO:0000706	9	meiotic DNA double-strand break processing
GO:0000707	10	meiotic DNA recombinase assembly
GO:0000708	9	meiotic strand invasion
GO:0000709	5	meiotic joint molecule formation
GO:0000710	10	meiotic mismatch repair
GO:0000711	10	meiotic DNA repair synthesis
GO:0000712	6	resolution of meiotic recombination intermediates
GO:0000713	6	meiotic heteroduplex formation
GO:0000714	9	meiotic strand displacement
GO:0000715	7	nucleotide-excision repair, DNA damage recognition
GO:0000716	8	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000717	10	nucleotide-excision repair, DNA duplex unwinding
GO:0000718	9	nucleotide-excision repair, DNA damage removal
GO:0000719	10	photoreactive repair
GO:0000720	10	pyrimidine dimer repair by nucleotide-excision repair
GO:0000721	6	(R,R)-butanediol dehydrogenase activity
GO:0000722	10	telomere maintenance via recombination
GO:0000723	8	telomere maintenance
GO:0000724	10	double-strand break repair via homologous recombination
GO:0000725	9	recombinational repair
GO:0000726	9	non-recombinational repair
GO:0000727	11	double-strand break repair via break-induced replication
GO:0000728	8	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	8	DNA double-strand break processing
GO:0000730	9	DNA recombinase assembly
GO:0000731	9	DNA synthesis involved in DNA repair
GO:0000732	8	strand displacement
GO:0000733	9	DNA strand renaturation
GO:0000734	10	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	8	removal of nonhomologous ends
GO:0000736	9	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	9	DNA catabolic process, endonucleolytic
GO:0000738	9	DNA catabolic process, exonucleolytic
GO:0000740	8	nuclear membrane fusion
GO:0000741	7	karyogamy
GO:0000742	8	karyogamy involved in conjugation with cellular fusion
GO:0000743	10	nuclear migration involved in conjugation with cellular fusion
GO:0000744	8	karyogamy involved in conjugation with mutual genetic exchange
GO:0000745	7	nuclear migration involved in conjugation with mutual genetic exchange
GO:0000746	4	conjugation
GO:0000747	5	conjugation with cellular fusion
GO:0000748	5	conjugation with mutual genetic exchange
GO:0000749	8	response to pheromone triggering conjugation with cellular fusion
GO:0000750	9	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	9	mitotic cell cycle G1 arrest in response to pheromone
GO:0000752	7	agglutination involved in conjugation with cellular fusion
GO:0000753	6	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	8	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	4	cytogamy
GO:0000756	7	response to pheromone regulating conjugation with mutual genetic exchange
GO:0000758	7	agglutination involved in conjugation with mutual genetic exchange
GO:0000759	6	cell morphogenesis involved in conjugation with mutual genetic exchange
GO:0000760	9	adaptation to pheromone regulating conjugation with mutual genetic exchange
GO:0000761	7	conjugant formation
GO:0000762	6	pheromone-induced unidirectional conjugation
GO:0000765	6	response to pheromone regulating pheromone-induced unidirectional conjugation
GO:0000766	9	negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation
GO:0000767	5	cell morphogenesis involved in conjugation
GO:0000768	5	syncytium formation by plasma membrane fusion
GO:0000769	5	syncytium formation by mitosis without cytokinesis
GO:0000770	8	peptide pheromone export
GO:0000771	6	agglutination involved in conjugation
GO:0000772	6	mating pheromone activity
GO:0000773	7	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000774	8	adenyl-nucleotide exchange factor activity
GO:0000775	4	chromosome, centromeric region
GO:0000776	6	kinetochore
GO:0000777	7	condensed chromosome kinetochore
GO:0000778	8	condensed nuclear chromosome kinetochore
GO:0000779	5	condensed chromosome, centromeric region
GO:0000780	6	condensed nuclear chromosome, centromeric region
GO:0000781	4	chromosome, telomeric region
GO:0000782	4	telomere cap complex
GO:0000783	5	nuclear telomere cap complex
GO:0000784	5	nuclear chromosome, telomeric region
GO:0000785	3	chromatin
GO:0000786	4	nucleosome
GO:0000787	5	cytoplasmic nucleosome
GO:0000788	5	nuclear nucleosome
GO:0000789	4	cytoplasmic chromatin
GO:0000790	4	nuclear chromatin
GO:0000791	4	euchromatin
GO:0000792	4	heterochromatin
GO:0000793	7	condensed chromosome
GO:0000794	8	condensed nuclear chromosome
GO:0000795	4	synaptonemal complex
GO:0000796	4	condensin complex
GO:0000797	3	condensin core heterodimer
GO:0000798	4	nuclear cohesin complex
GO:0000799	5	nuclear condensin complex
GO:0000800	3	lateral element
GO:0000801	3	central element
GO:0000802	3	transverse filament
GO:0000803	7	sex chromosome
GO:0000804	8	W chromosome
GO:0000805	8	X chromosome
GO:0000806	8	Y chromosome
GO:0000807	8	Z chromosome
GO:0000808	3	origin recognition complex
GO:0000809	4	cytoplasmic origin of replication recognition complex
GO:0000810	7	diacylglycerol diphosphate phosphatase activity
GO:0000811	5	GINS complex
GO:0000812	7	Swr1 complex
GO:0000813	4	ESCRT I complex
GO:0000814	4	ESCRT II complex
GO:0000815	4	ESCRT III complex
GO:0000817	3	COMA complex
GO:0000818	4	nuclear MIS12/MIND complex
GO:0000819	7	sister chromatid segregation
GO:0000820	8	regulation of glutamine family amino acid metabolic process
GO:0000821	9	regulation of arginine metabolic process
GO:0000822	5	inositol hexakisphosphate binding
GO:0000823	7	inositol-1,4,5-trisphosphate 6-kinase activity
GO:0000824	7	inositol tetrakisphosphate 3-kinase activity
GO:0000825	7	inositol tetrakisphosphate 6-kinase activity
GO:0000827	6	inositol-1,3,4,5,6-pentakisphosphate kinase activity
GO:0000828	6	inositol hexakisphosphate kinase activity
GO:0000829	6	inositol heptakisphosphate kinase activity
GO:0000830	7	inositol hexakisphosphate 4-kinase activity
GO:0000831	7	inositol hexakisphosphate 6-kinase activity
GO:0000832	7	inositol hexakisphosphate 5-kinase activity
GO:0000833	7	inositol heptakisphosphate 4-kinase activity
GO:0000834	7	inositol heptakisphosphate 6-kinase activity
GO:0000835	7	ER ubiquitin ligase complex
GO:0000836	8	Hrd1p ubiquitin ligase complex
GO:0000837	8	Doa10p ubiquitin ligase complex
GO:0000838	9	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	9	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000900	6	translation repressor activity, mRNA regulatory element binding
GO:0000901	4	translation repressor activity, non-nucleic acid binding
GO:0000902	4	cell morphogenesis
GO:0000904	5	cell morphogenesis involved in differentiation
GO:0000905	8	sporocarp development involved in asexual reproduction
GO:0000906	5	6,7-dimethyl-8-ribityllumazine synthase activity
