TF	target	Cor	Wave	tf_name	tf_description	target_name	target_description
Pa_1_3130	Pa_1_20640	0.984783803540298	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3130	Pa_1_3120	0.989914243711583	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3130	Pa_2_7920	0.975096732438644	II	-	Putative_protein_of_unknown_function	-	Putative_pisatin_demethylase
Pa_1_3130	Pa_5_11210	0.979067100751249	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3130	Pa_5_11220	0.950452960766785	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3130	Pa_6_11690	0.957312745425091	II	-	Putative_protein_of_unknown_function	-	Putative_RNA-dependent_RNA_polymerase_1
Pa_1_3130	Pa_6_5790	0.980478488278881	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_1_3110	0.983078344086567	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_3_1060	0.983570424307489	II	-	Putative_protein_of_unknown_function	-	Putative_GMC_oxidoreductase
Pa_1_3290	Pa_3_490	0.976806396468269	II	-	Putative_protein_of_unknown_function	-	Putative_sulfate_transporter
Pa_1_3290	Pa_3_7370	0.96696437528961	II	-	Putative_protein_of_unknown_function	-	Putative_Zinc_metalloprotease
Pa_1_3290	Pa_4_3960	0.961943602425258	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_4_8300	0.965048047137558	II	-	Putative_protein_of_unknown_function	-	Putative_mitochondrial_chaperone_BCS1_
Pa_1_3290	Pa_5_1500	0.952842919408687	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_5_3290	0.974827254492419	II	-	Putative_protein_of_unknown_function	-	Putative_Glycoside_Hydrolase_Family_18
Pa_1_3290	Pa_5_4580	0.976984960060653	II	-	Putative_protein_of_unknown_function	-	Putative_pyruvate_decarboxylase_isozyme_3
Pa_1_3290	Pa_6_110	0.964443080464278	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_7_10740	0.969756790065356	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_3290	Pa_7_4890	0.95565510058901	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4790	Pa_5_8470	0.951075811305323	II	-	Putative_protein_of_unknown_function	-	Putative_mitochondrial_thiazole_biosynthetic_enzyme_precursor
Pa_1_4940	Pa_0_150	0.968101905881138	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_0_1640	0.950198439998305	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_18060	0.983296212593907	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_18270	0.98005933715304	II	-	Putative_protein_of_unknown_function	Agl1	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_20460	0.961217881765898	II	-	Putative_protein_of_unknown_function	Set8	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_21890	0.955934316398097	II	-	Putative_protein_of_unknown_function	-	Putative_calpain
Pa_1_4940	Pa_1_24420	0.964431028040181	II	-	Putative_protein_of_unknown_function	-	Putative_monooxygenase
Pa_1_4940	Pa_1_380	0.950045834300004	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_5930	0.951655907757845	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_1_8170	0.958312402658763	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_2_13740	0.952958140464863	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_2_14000	0.964231325306556	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_2_4590	0.980661359301253	II	-	Putative_protein_of_unknown_function	-	Putative_phenylacetone_monooxygenase
Pa_1_4940	Pa_2_4600	0.976134653327121	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_2_7790	0.974417707031502	II	-	Putative_protein_of_unknown_function	-	Putative_protein_similar_to_Mb1315_of_Mycobacterium_bovis
Pa_1_4940	Pa_2_7910	0.978385929561354	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_2_7920	0.952690564667482	II	-	Putative_protein_of_unknown_function	-	Putative_pisatin_demethylase
Pa_1_4940	Pa_3_1015	0.974301809343197	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_3_2000	0.969910420758843	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_3_2190	0.952242078329515	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_3_5670	0.95944194445104	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_3_9700	0.967590905687637	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_1230	0.988927195224842	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_1300	0.983034159629801	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_1860	0.969049208403955	II	-	Putative_protein_of_unknown_function	-	Putative_multidrug_efflux_pump
Pa_1_4940	Pa_4_1950	0.979106429585614	II	-	Putative_protein_of_unknown_function	-	Putative_dehydrogenase
Pa_1_4940	Pa_4_1980	0.969547555360237	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_2100	0.969370019965464	II	-	Putative_protein_of_unknown_function	-	Putative_Heterokaryon_incompatibility_protein
Pa_1_4940	Pa_4_2280	0.964877141589158	II	-	Putative_protein_of_unknown_function	-	Putative_Ankyrin
Pa_1_4940	Pa_4_450	0.977800558877474	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_4510	0.975562569065457	II	-	Putative_protein_of_unknown_function	-	Putative_Salicylate_hydroxylase
Pa_1_4940	Pa_4_4850	0.984293834440369	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_5020	0.97801030600646	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_5460	0.983912602299719	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_4_870	0.978697441041838	II	-	Putative_protein_of_unknown_function	-	Putative_Glycoside_Hydrolase_Family_16
Pa_1_4940	Pa_4_9810	0.975113084734716	II	-	Putative_protein_of_unknown_function	-	Putative_dehydrogenase_
Pa_1_4940	Pa_5_10090	0.957965260900687	II	-	Putative_protein_of_unknown_function	-	Putative_tyrosinase
Pa_1_4940	Pa_5_10440	0.95928636098991	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_11080	0.960637128743915	II	-	Putative_protein_of_unknown_function	-	Putative_voltage-gated_shaker-like_K+_channel
Pa_1_4940	Pa_5_11180	0.974394156327366	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_11190	0.978981249530934	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_11195	0.987923087830047	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_11200	0.982278120840487	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_11220	0.974748446712675	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_12630	0.954991409104719	II	-	Putative_protein_of_unknown_function	-	Putative_HET_domain-containing_protein
Pa_1_4940	Pa_5_1270	0.98554938080704	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_140	0.952744614284399	II	-	Putative_protein_of_unknown_function	-	Putative_Cytochrome_P450_protein_
Pa_1_4940	Pa_5_150	0.956425884415558	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_3650	0.977283840242665	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_3670	0.981572835293692	II	-	Putative_protein_of_unknown_function	-	Putative_transporter
Pa_1_4940	Pa_5_3930	0.956964260495284	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_4170	0.957651391585578	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_6340	0.95227167726369	II	-	Putative_protein_of_unknown_function	-	Putative_mitochondrial_medium-chain_specific_acyl-CoA_dehydrogenase_precursor_
Pa_1_4940	Pa_5_690	0.967345703945343	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_7015	0.96041242279551	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_5_7020	0.96946724047684	II	-	Putative_protein_of_unknown_function	-	Putative_tannase_precursor_
Pa_1_4940	Pa_6_2440	0.992492383360869	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_6_2460	0.967232193570306	II	-	Putative_protein_of_unknown_function	-	Putative_JmjC_domain-containing_histone_demethylation_
Pa_1_4940	Pa_6_5390	0.986613349925106	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_6_5790	0.950237155815067	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_6_9980	0.951476294103312	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_7_3100	0.965924116689076	II	-	Putative_protein_of_unknown_function	-	Putative_negative_regulator_of_the_PHO_system_
Pa_1_4940	Pa_7_330	0.959016543098464	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_7_3330	0.977870412665348	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_4940	Pa_7_4260	0.980072317762614	II	-	Putative_protein_of_unknown_function	-	Putative_Cytochrome_P450_protein
Pa_1_4940	Pa_7_70	0.970244034426096	II	-	Putative_protein_of_unknown_function	-	Putative_1-phosphatidylinositol-4,5-bisphosphate_phosphodiesterase_1
Pa_1_6100	Pa_1_13230	0.955395262522933	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_16510	0.959084946910532	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_17947	0.977355467290972	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_18270	0.960970387520139	II	-	Putative_protein_of_unknown_function	Agl1	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_21730	0.978661761728337	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_21910	0.956740616048753	II	-	Putative_protein_of_unknown_function	-	Putative_glutathione_S-transferase
Pa_1_6100	Pa_1_2250	0.975358540498829	II	-	Putative_protein_of_unknown_function	-	Putative_Glycoside_Hydrolase_Family_18_
Pa_1_6100	Pa_1_24410	0.956620667409196	II	-	Putative_protein_of_unknown_function	-	Putative_SAM-dependent_methyltransferases_
Pa_1_6100	Pa_1_3090	0.975068436651977	II	-	Putative_protein_of_unknown_function	-	Putative_GTPase
Pa_1_6100	Pa_1_5250	0.970350528762589	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_5930	0.973988750092627	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_1_5975	0.9522349334201	II	-	Putative_protein_of_unknown_function	-	NA
Pa_1_6100	Pa_1_9760	0.969742089875317	II	-	Putative_protein_of_unknown_function	-	Putative_NADPH_dehydrogenase_
Pa_1_6100	Pa_2_10310	0.962790789259972	II	-	Putative_protein_of_unknown_function	-	Putative_ankyrin_repeat_protein
Pa_1_6100	Pa_2_10320	0.986227987408507	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_11310	0.957041043580451	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_11550	0.967473377097043	II	-	Putative_protein_of_unknown_function	-	Putative_Regulator_of_chromosome_condensation
Pa_1_6100	Pa_2_14020	0.96551956715386	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_14030	0.95005157900153	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_1630	0.952033674535393	II	-	Putative_protein_of_unknown_function	-	Putative_protein_similar_to_YKL069W_of_Saccharomyces_cerevisiae
Pa_1_6100	Pa_2_4220	0.959927568379724	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_4590	0.967982425608452	II	-	Putative_protein_of_unknown_function	-	Putative_phenylacetone_monooxygenase
Pa_1_6100	Pa_2_4600	0.965498471572994	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_7200	0.988629836889785	II	-	Putative_protein_of_unknown_function	-	Putative_aflatoxin_biosynthesis_ketoreductase_
Pa_1_6100	Pa_2_7220	0.970128201996621	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_monooxygenase
Pa_1_6100	Pa_2_7240	0.951880561682596	II	-	Putative_protein_of_unknown_function	-	Putative_versicolorin_reductase
Pa_1_6100	Pa_2_7280	0.962042967558557	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_7320	0.962062259637409	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_lipase/esterase
Pa_1_6100	Pa_2_7330	0.956746907169523	II	-	Putative_protein_of_unknown_function	-	Putative_short-chain_dehydrogenase/reductase
Pa_1_6100	Pa_2_7340	0.976041380769206	II	-	Putative_protein_of_unknown_function	-	Putative_averantin_oxidoreductase
Pa_1_6100	Pa_2_7350	0.968942733479961	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_2_7360	0.96193343575863	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_regulatory_protein
Pa_1_6100	Pa_2_7400	0.966958836859812	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_P450_monooxygenase
Pa_1_6100	Pa_2_7420	0.961738549922301	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_protein_similar_to_STCO_of_Aspergillus_nidulans
Pa_1_6100	Pa_2_7440	0.96693716986744	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_biosynthesis_protein_similar_to_STCQ_of_Aspergillus_nidulans
Pa_1_6100	Pa_2_8370	0.971122862281686	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_3_1030	0.966913170339269	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_3_2000	0.958756596703077	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_3_6730	0.963310750088721	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_3_705	0.954045295573923	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_3_970	0.977306355915784	II	-	Putative_protein_of_unknown_function	-	Putative_Protein_FMP52,_mitochondrial_precursor
Pa_1_6100	Pa_4_1230	0.964859476219345	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_4_1300	0.967111680000032	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_4_1900	0.974453997551193	II	-	Putative_protein_of_unknown_function	-	Putative_Heterokaryon_incompatibility_protein
Pa_1_6100	Pa_4_20	0.984201104454761	II	-	Putative_protein_of_unknown_function	-	Putative_oxidoreductase
Pa_1_6100	Pa_4_340	0.963123832193543	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_4_450	0.956268793619283	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_4_870	0.964372832635903	II	-	Putative_protein_of_unknown_function	-	Putative_Glycoside_Hydrolase_Family_16
Pa_1_6100	Pa_5_10910	0.967183553584016	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_11060	0.957808041624754	II	-	Putative_protein_of_unknown_function	-	Putative_sterigmatocystin_8-O-methyltransferase_precursor
Pa_1_6100	Pa_5_11180	0.967533752100513	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_1120	0.991936638228852	II	-	Putative_protein_of_unknown_function	-	Putative_alcohol_dehydrogenase
Pa_1_6100	Pa_5_11200	0.954778717487963	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_12020	0.962679575257572	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_3920	0.966945307741673	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_690	0.9730362894743	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_5_9910	0.97841796608119	II	-	Putative_protein_of_unknown_function	-	Putative_efflux_system_protein
Pa_1_6100	Pa_6_10350	0.975993517703468	II	-	Putative_protein_of_unknown_function	-	Putative_MFS_toxin_efflux_pump_
Pa_1_6100	Pa_6_10380	0.982448100893101	II	-	Putative_protein_of_unknown_function	-	Putative_Dehydrogenase
Pa_1_6100	Pa_6_10390	0.98185028158287	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_6_11060	0.979147600738208	II	-	Putative_protein_of_unknown_function	-	Putative_Sexual_development_protein_
Pa_1_6100	Pa_6_5390	0.964447246751342	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_6_6330	0.956689923522047	II	-	Putative_protein_of_unknown_function	-	Putative_NADPH_dehydrogenase
Pa_1_6100	Pa_6_8260	0.976547575930819	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_6_8310	0.969969923573998	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_6_9796	0.956832534647158	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_6_9980	0.982875215845626	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_7_320	0.974269680392832	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6100	Pa_7_4260	0.958258819975241	II	-	Putative_protein_of_unknown_function	-	Putative_Cytochrome_P450_protein
Pa_1_6100	Pa_7_4790	0.956061612900707	II	-	Putative_protein_of_unknown_function	-	Putative_RNA_dependent_RNA_polymerase
Pa_1_6100	Pa_7_860	0.955746358189257	II	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6220	Pa_1_19200	0.97990961002518	V	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_6220	Pa_3_11160	0.974289072033069	V	-	Putative_protein_of_unknown_function	-	Putative_8-amino-7-oxononanoate_synthase
Pa_1_10140	Pa_1_10080	0.954502346782023	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_1_10150	0.991649748250353	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	NA
Pa_1_10140	Pa_2_1590	0.953300579021367	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_2_7090	0.961788324780636	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_3_6760	0.974804464555688	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_3_790	0.98249010881008	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_3_9310	0.966467312451355	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_Glycoside_Hydrolase_Family_72
Pa_1_10140	Pa_4_6130	0.970098111751331	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_4_6180	0.95714295291481	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_5_2690	0.959324388213296	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_oligopeptide_transporter_
Pa_1_10140	Pa_6_10890	0.960974395643115	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_7_4170	0.973056809226498	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_10140	Pa_7_5200	0.982562428692481	III	Pro1	Putative_transcriptional_regulatory_protein_pro-1	-	Putative_protein_of_unknown_function
Pa_1_11860	Pa_7_730	0.959962646134601	IV	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
Pa_1_11860	Pa_1_1210	0.956467084106105	V	-	Putative_protein_of_unknown_function	-	Putative_protein_of_unknown_function
