DE_gene		UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
Pa_0_1270	OG0000063	tr|Q2GMP8|Q2GMP8_CHAGB, tr|Q2H6X0|Q2H6X0_CHAGB, tr|Q2H8J0|Q2H8J0_CHAGB	tr|Q1K6Q7|Q1K6Q7_NEUCR, tr|Q7RX92|Q7RX92_NEUCR	tr|F7W2I5|F7W2I5_SORMK, tr|F7W309|F7W309_SORMK	tr|G0R8L6|G0R8L6_HYPJQ, tr|G0R939|G0R939_HYPJQ, tr|G0RC64|G0RC64_HYPJQ, tr|G0RG41|G0RG41_HYPJQ, tr|G0RGF2|G0RGF2_HYPJQ, tr|G0RIG0|G0RIG0_HYPJQ, tr|G0RUE9|G0RUE9_HYPJQ, tr|G0RVL0|G0RVL0_HYPJQ, tr|G0RXE8|G0RXE8_HYPJQ, tr|G0RXK3|G0RXK3_HYPJQ	Pa_0_1270|chrm2|Putative, Pa_3_10840|chrm3|Putative, Pa_7_10780|chrm7|Putative
Pa_0_130	OG0007608		tr|Q7S8A3|Q7S8A3_NEUCR	tr|F7VUA2|F7VUA2_SORMK		Pa_0_130|chrm6|Putative
Pa_0_1310	OG0000073	tr|Q2GSG1|Q2GSG1_CHAGB, tr|Q2H3K0|Q2H3K0_CHAGB, tr|Q2HDU0|Q2HDU0_CHAGB	tr|Q7S0F8|Q7S0F8_NEUCR, tr|Q7S222|Q7S222_NEUCR, tr|Q7S7D0|Q7S7D0_NEUCR, tr|Q7SGL2|Q7SGL2_NEUCR	tr|F7W1Z4|F7W1Z4_SORMK, tr|F7W508|F7W508_SORMK, tr|F7W9Q2|F7W9Q2_SORMK	tr|G0RFE9|G0RFE9_HYPJQ, tr|G0RHZ8|G0RHZ8_HYPJQ, tr|G0RQ16|G0RQ16_HYPJQ, tr|G0RRQ0|G0RRQ0_HYPJQ	Pa_0_1310|chrm2|Putative, Pa_1_9470|chrm1|Putative, Pa_4_7400|chrm4|Putative, Pa_6_10680|chrm6|Putative
Pa_0_1350	OG0000838	tr|Q2H848|Q2H848_CHAGB	tr|F5HBC9|F5HBC9_NEUCR	tr|F7W1R5|F7W1R5_SORMK	tr|G0RSX8|G0RSX8_HYPJQ, tr|G0RXE7|G0RXE7_HYPJQ	Pa_0_1350|chrm7|Putative
Pa_0_1360	OG0006457	tr|Q2H847|Q2H847_CHAGB	tr|Q7S345|Q7S345_NEUCR	tr|F7WB53|F7WB53_SORMK		Pa_0_1360|chrm7|Putative
Pa_0_1400	OG0001161	tr|Q2GN48|Q2GN48_CHAGB	tr|Q7RZ44|Q7RZ44_NEUCR	tr|F7VMH6|F7VMH6_SORMK	tr|G0RSV5|G0RSV5_HYPJQ	Pa_0_1400|chrm7|Putative, Pa_3_11080|chrm3|Putative
Pa_0_1420	OG0000177	tr|Q2GN70|Q2GN70_CHAGB, tr|Q2GX04|Q2GX04_CHAGB, tr|Q2H856|Q2H856_CHAGB, tr|Q2HER1|Q2HER1_CHAGB	tr|Q7RWX3|Q7RWX3_NEUCR, tr|Q7RZR8|Q7RZR8_NEUCR	tr|F7VR64|F7VR64_SORMK, tr|F7VYE2|F7VYE2_SORMK		Pa_0_1420|chrm7|Putative, Pa_1_5030|chrm1|Putative, Pa_3_2687|chrm3|Putative, Pa_7_6210|chrm7|Putative
Pa_0_1440	OG0001158	tr|Q2HFZ6|Q2HFZ6_CHAGB	tr|Q7SFY6|Q7SFY6_NEUCR	tr|F7VXL8|F7VXL8_SORMK	tr|G0RMV0|G0RMV0_HYPJQ	Pa_0_1440|chrm7|Putative, Pa_1_11100|chrm1|Putative
Pa_0_1460	OG0006439	tr|Q2GZ86|Q2GZ86_CHAGB	tr|Q7S0F4|Q7S0F4_NEUCR	tr|F7W3I8|F7W3I8_SORMK		Pa_0_1460|chrm7|Putative
Pa_0_1470	OG0001848	tr|Q2GT10|Q2GT10_CHAGB	tr|Q7RWM6|Q7RWM6_NEUCR	tr|F7VMR4|F7VMR4_SORMK	tr|G0RI06|G0RI06_HYPJQ	Pa_0_1470|chrm4|Putative
Pa_0_150	OG0000180	tr|Q2GPX4|Q2GPX4_CHAGB, tr|Q2GQH5|Q2GQH5_CHAGB, tr|Q2H841|Q2H841_CHAGB, tr|Q2H8B8|Q2H8B8_CHAGB, tr|Q2HBH8|Q2HBH8_CHAGB	tr|Q7S4C7|Q7S4C7_NEUCR			Pa_0_150|chrm6|Putative, Pa_1_1100|chrm1|Putative, Pa_1_4970|chrm1|Putative, Pa_5_8530|chrm5|Putative, Pa_6_6780|chrm6|Putative, Pa_7_5020|chrm7|Putative
Pa_0_1540	OG0001141	tr|Q2HBR3|Q2HBR3_CHAGB	tr|Q7S3F8|Q7S3F8_NEUCR	tr|F7W3F4|F7W3F4_SORMK	tr|G0RI09|G0RI09_HYPJQ, tr|G0RTM4|G0RTM4_HYPJQ	Pa_0_1540|chrm5|Putative
Pa_0_1560	OG0006996		tr|Q7S3G0|Q7S3G0_NEUCR	tr|F7W3F6|F7W3F6_SORMK	tr|G0RI12|G0RI12_HYPJQ	Pa_0_1560|chrm5|Putative
Pa_0_160	OG0000051	tr|Q2GUY6|Q2GUY6_CHAGB, tr|Q2GW18|Q2GW18_CHAGB, tr|Q2H495|Q2H495_CHAGB, tr|Q2HDU4|Q2HDU4_CHAGB	tr|Q1K919|Q1K919_NEUCR, tr|Q7S0G0|Q7S0G0_NEUCR	tr|F7VJX1|F7VJX1_SORMK, tr|F7VT16|F7VT16_SORMK, tr|F7W1Z0|F7W1Z0_SORMK	sp|G0REX9|ILIC_HYPJQ, tr|G0R6Z6|G0R6Z6_HYPJQ, tr|G0R9K0|G0R9K0_HYPJQ, tr|G0RDE9|G0RDE9_HYPJQ, tr|G0RI90|G0RI90_HYPJQ, tr|G0RNX6|G0RNX6_HYPJQ, tr|G0RQD9|G0RQD9_HYPJQ, tr|G0RSD5|G0RSD5_HYPJQ, tr|G0RW91|G0RW91_HYPJQ	Pa_0_160|chrm6|Putative, Pa_1_5555|chrm1|Putative, Pa_1_9520|chrm1|Putative, Pa_6_7310|chrm6|Putative
Pa_0_1630	OG0000039	tr|Q2GLY5|Q2GLY5_CHAGB, tr|Q2GPW3|Q2GPW3_CHAGB, tr|Q2GR70|Q2GR70_CHAGB, tr|Q2GYV3|Q2GYV3_CHAGB, tr|Q2H2Y1|Q2H2Y1_CHAGB, tr|Q2H5D5|Q2H5D5_CHAGB, tr|Q2HBL7|Q2HBL7_CHAGB, tr|Q2HBS3|Q2HBS3_CHAGB, tr|Q2HIB8|Q2HIB8_CHAGB	tr|Q1K6D9|Q1K6D9_NEUCR, tr|Q7S2V3|Q7S2V3_NEUCR, tr|V5ILA2|V5ILA2_NEUCR	tr|F7VQN4|F7VQN4_SORMK, tr|F7VR92|F7VR92_SORMK, tr|F7W379|F7W379_SORMK		Pa_0_1630|chrm5|Putative, Pa_0_890|chrm2|Putative, Pa_1_15860|chrm1|Putative, Pa_1_770|chrm1|Putative, Pa_2_13980|chrm2|Putative, Pa_2_14150|chrm2|Putative, Pa_5_4290|chrm5|Putative, Pa_5_7470|chrm5|Putative
Pa_0_1640	OG0000760	tr|Q2HG54|Q2HG54_CHAGB			tr|G0RIV5|G0RIV5_HYPJQ	Pa_0_1640|chrm7|Putative, Pa_1_12180|chrm1|Putative, Pa_2_4040|chrm2|Putative, Pa_6_9950|chrm6|Putative, Pa_7_930|chrm7|Putative
Pa_0_20	OG0009276					Pa_0_20|chrm6|Putative, Pa_5_10810|chrm5|Putative
Pa_0_200	OG0000092	tr|Q2GQC1|Q2GQC1_CHAGB, tr|Q2HEP3|Q2HEP3_CHAGB	tr|Q7SET5|Q7SET5_NEUCR	tr|F7VQP3|F7VQP3_SORMK	tr|G0RFV7|G0RFV7_HYPJQ, tr|G0RKH5|G0RKH5_HYPJQ, tr|G0RN05|G0RN05_HYPJQ	Pa_0_200|chrm6|Putative, Pa_1_1360|chrm1|Putative, Pa_1_4860|chrm1|Putative, Pa_1_5230|chrm1|Putative, Pa_4_6490|chrm4|Putative, Pa_5_3670|chrm5|Putative, Pa_5_370|chrm5|Putative, Pa_6_7300|chrm6|Putative, Pa_6_7770|chrm6|Putative
Pa_0_210	OG0000060	sp|Q2HBN4|CGHC_CHAGB, sp|Q2HEW4|CHEB_CHAGB, tr|Q2GPT1|Q2GPT1_CHAGB, tr|Q2GSC3|Q2GSC3_CHAGB, tr|Q2GTC8|Q2GTC8_CHAGB, tr|Q2GZL2|Q2GZL2_CHAGB, tr|Q2H2C9|Q2H2C9_CHAGB, tr|Q2H5M6|Q2H5M6_CHAGB, tr|Q2H7T2|Q2H7T2_CHAGB, tr|Q2H821|Q2H821_CHAGB			sp|G0REX7|ILIB_HYPJQ, tr|G0R9T0|G0R9T0_HYPJQ, tr|G0RFR2|G0RFR2_HYPJQ, tr|G0RRM4|G0RRM4_HYPJQ, tr|G0RSQ6|G0RSQ6_HYPJQ	Pa_0_210|chrm6|Putative, Pa_3_1730|chrm3|Putative, Pa_4_4780|chrm4|Putative, Pa_5_6780|chrm5|Putative, Pa_6_11020|chrm6|Putative
Pa_0_220	OG0000018	tr|Q2GPW5|Q2GPW5_CHAGB, tr|Q2GR76|Q2GR76_CHAGB, tr|Q2H7P0|Q2H7P0_CHAGB, tr|Q2HEL5|Q2HEL5_CHAGB, tr|Q2HEP8|Q2HEP8_CHAGB	tr|Q7S4K3|Q7S4K3_NEUCR, tr|Q7SEE6|Q7SEE6_NEUCR	tr|F7VQQ2|F7VQQ2_SORMK, tr|F7VQR7|F7VQR7_SORMK, tr|F7VVP4|F7VVP4_SORMK, tr|F7VYD3|F7VYD3_SORMK, tr|F7W087|F7W087_SORMK, tr|F7W5W2|F7W5W2_SORMK	tr|G0R9H0|G0R9H0_HYPJQ, tr|G0RBH3|G0RBH3_HYPJQ, tr|G0RE74|G0RE74_HYPJQ, tr|G0RFV9|G0RFV9_HYPJQ, tr|G0RKQ4|G0RKQ4_HYPJQ, tr|G0RNZ3|G0RNZ3_HYPJQ, tr|G0RP17|G0RP17_HYPJQ, tr|G0RVJ9|G0RVJ9_HYPJQ, tr|G0RWK9|G0RWK9_HYPJQ	Pa_0_220|chrm6|Putative, Pa_1_10160|chrm1|Putative, Pa_1_18360|chrm1|Putative, Pa_2_7290|chrm2|Putative, Pa_2_7340|chrm2|Putative, Pa_2_7400|chrm2|Putative, Pa_3_10850|chrm3|Putative, Pa_3_11380|chrm3|Putative, Pa_4_4580|chrm4|Putative, Pa_5_1260|chrm5|Putative, Pa_5_720|chrm5|Putative
Pa_0_240	OG0000086	tr|Q2GN07|Q2GN07_CHAGB, tr|Q2HI66|Q2HI66_CHAGB				Pa_0_240|chrm6|Putative, Pa_1_11870|chrm1|Putative, Pa_1_5210|chrm1|Putative, Pa_3_1990|chrm3|Putative, Pa_4_3840|chrm4|Putative, Pa_5_1690|chrm5|Putative, Pa_5_2090|chrm5|Putative, Pa_5_3750|chrm5|Putative, Pa_5_380|chrm5|Putative, Pa_5_6830|chrm5|Putative, Pa_5_7530|chrm5|Putative, Pa_5_7750|chrm5|Putative, Pa_6_10100|chrm6|Putative, Pa_6_10330|chrm6|Putative, Pa_6_7340|chrm6|Putative
Pa_0_290	OG0007436	tr|Q2GUU8|Q2GUU8_CHAGB, tr|Q2HBY0|Q2HBY0_CHAGB				Pa_0_290|chrm4|Putative
Pa_0_30	OG0008104	tr|Q2HHS7|Q2HHS7_CHAGB				Pa_0_30|chrm6|Putative
Pa_0_310	OG0004578	tr|Q2GY98|Q2GY98_CHAGB	tr|Q1K7I3|Q1K7I3_NEUCR	tr|F7VZ73|F7VZ73_SORMK		Pa_0_310|chrm4|Putative, Pa_2_9890|chrm2|Putative
Pa_0_330	OG0000175	tr|Q2H514|Q2H514_CHAGB, tr|Q2HFJ6|Q2HFJ6_CHAGB	tr|Q7SCG1|Q7SCG1_NEUCR	tr|F7VV36|F7VV36_SORMK	tr|G0R9B5|G0R9B5_HYPJQ, tr|G0R9C8|G0R9C8_HYPJQ, tr|G0RE93|G0RE93_HYPJQ, tr|G0RM21|G0RM21_HYPJQ	Pa_0_330|chrm4|Putative, Pa_2_7710|chrm2|Putative, Pa_4_1030|chrm4|Putative, Pa_5_1340|chrm5|Putative
Pa_0_340	OG0000488	tr|Q2H3S5|Q2H3S5_CHAGB, tr|Q2H7X6|Q2H7X6_CHAGB	tr|Q7SD15|Q7SD15_NEUCR	tr|F7VSK0|F7VSK0_SORMK	tr|G0RRS1|G0RRS1_HYPJQ, tr|G0RVH4|G0RVH4_HYPJQ	Pa_0_340|chrm4|Putative, Pa_1_21970|chrm1|Putative
Pa_0_360	OG0006198	tr|Q2HHY6|Q2HHY6_CHAGB			tr|G0RFL2|G0RFL2_HYPJQ	Pa_0_360|chrm4|Putative, Pa_7_1050|chrm7|Putative
Pa_0_370	OG0006148	tr|Q2GU92|Q2GU92_CHAGB, tr|Q2GWW6|Q2GWW6_CHAGB, tr|Q2HHI5|Q2HHI5_CHAGB				Pa_0_370|chrm4|Putative
Pa_0_390	OG0000683	tr|Q2GUI9|Q2GUI9_CHAGB	tr|A7UXA0|A7UXA0_NEUCR	tr|F7W3C0|F7W3C0_SORMK, tr|F7WCH7|F7WCH7_SORMK	tr|G0R9T2|G0R9T2_HYPJQ	Pa_0_390|chrm4|Putative, Pa_4_380|chrm4|Putative
Pa_0_410	OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
Pa_0_440	OG0000130	tr|Q2GLZ1|Q2GLZ1_CHAGB, tr|Q2GZG1|Q2GZG1_CHAGB, tr|Q2H7W5|Q2H7W5_CHAGB, tr|Q2H817|Q2H817_CHAGB	tr|Q7S2V1|Q7S2V1_NEUCR, tr|Q7S3S9|Q7S3S9_NEUCR	tr|F7W381|F7W381_SORMK, tr|F7W577|F7W577_SORMK		Pa_0_440|chrm4|Putative, Pa_3_1060|chrm3|Putative, Pa_5_12200|chrm5|Putative, Pa_5_4150|chrm5|Putative, Pa_6_11490|chrm6|Putative, Pa_7_4780|chrm7|Putative
Pa_0_450	OG0007984	tr|Q2GTT8|Q2GTT8_CHAGB				Pa_0_450|chrm4|Putative
Pa_0_480	OG0008119	tr|Q2GWZ8|Q2GWZ8_CHAGB				Pa_0_480|chrm4|Putative
Pa_0_500	OG0000002	tr|Q2GLZ8|Q2GLZ8_CHAGB, tr|Q2H4S2|Q2H4S2_CHAGB, tr|Q2HHU0|Q2HHU0_CHAGB		tr|F7W279|F7W279_SORMK		Pa_0_410|chrm4|Putative, Pa_0_500|chrm2|Putative, Pa_1_1070|chrm1|Putative, Pa_1_13110|chrm1|Putative, Pa_1_1400|chrm1|Putative, Pa_1_16490|chrm1|Putative, Pa_1_4680|chrm1|Putative, Pa_2_4380|chrm2|Putative, Pa_2_6790|chrm2|Putative, Pa_2_8770|chrm2|Putative, Pa_3_11010|chrm3|Putative, Pa_3_11340|chrm3|Putative, Pa_3_5550|chrm3|Putative, Pa_3_5620|chrm3|Putative, Pa_3_5700|chrm3|Putative, Pa_3_8510|chrm3|Putative, Pa_3_8530|chrm3|Putative, Pa_3_9610|chrm3|Putative, Pa_3_9700|chrm3|Putative, Pa_4_1225|chrm4|Putative, Pa_4_1250|chrm4|Putative, Pa_4_1550|chrm4|Putative, Pa_4_1900|chrm4|Putative, Pa_4_3490|chrm4|Putative, Pa_4_440|chrm4|Putative, Pa_4_4450|chrm4|Putative, Pa_5_10680|chrm5|Putative, Pa_5_1080|chrm5|Putative, Pa_5_12230|chrm5|Putative, Pa_5_12310|chrm5|Putative, Pa_5_12320|chrm5|Putative, Pa_5_12570|chrm5|Putative, Pa_5_240|chrm5|Putative, Pa_5_3380|chrm5|Putative, Pa_5_3520|chrm5|Putative, Pa_5_3590|chrm5|Putative, Pa_5_3920|chrm5|Putative, Pa_5_4510|chrm5|Putative, Pa_5_7300|chrm5|Putative, Pa_5_7690|chrm5|Putative, Pa_5_7850|chrm5|Putative, Pa_5_7870|chrm5|Putative, Pa_6_10460|chrm6|Putative, Pa_6_1970|chrm6|Putative, Pa_6_2290|chrm6|Putative, Pa_6_2390|chrm6|Putative, Pa_6_3200|chrm6|Putative, Pa_6_3470|chrm6|Putative, Pa_6_3480|chrm6|Putative, Pa_6_6980|chrm6|Putative, Pa_6_8050|chrm6|Putative, Pa_6_8270|chrm6|Putative, Pa_7_10750|chrm7|Putative, Pa_7_3460|chrm7|Putative, Pa_7_6240|chrm7|Putative, Pa_7_8910|chrm7|Putative
Pa_0_540	OG0008338	tr|Q2HC84|Q2HC84_CHAGB				Pa_0_540|chrm2|Putative
Pa_0_550	OG0007644		tr|V5IPA3|V5IPA3_NEUCR	tr|F7VUI2|F7VUI2_SORMK		Pa_0_550|chrm2|Putative
Pa_0_580	OG0000103	tr|Q2GZH6|Q2GZH6_CHAGB, tr|Q2H7C3|Q2H7C3_CHAGB	tr|Q7S1R1|Q7S1R1_NEUCR, tr|Q7S2T6|Q7S2T6_NEUCR, tr|Q7SB45|Q7SB45_NEUCR	tr|F7W2M5|F7W2M5_SORMK, tr|F7W3A5|F7W3A5_SORMK, tr|F7W8F2|F7W8F2_SORMK	tr|G0RG30|G0RG30_HYPJQ, tr|G0RWY8|G0RWY8_HYPJQ	Pa_0_580|chrm2|Putative, Pa_2_14230|chrm2|Putative, Pa_3_2450|chrm3|Putative, Pa_4_1820|chrm4|Putative, Pa_6_10640|chrm6|Putative
Pa_0_600	OG0000055	tr|Q2GNG2|Q2GNG2_CHAGB, tr|Q2GUM7|Q2GUM7_CHAGB, tr|Q2GWI7|Q2GWI7_CHAGB, tr|Q2GZ71|Q2GZ71_CHAGB, tr|Q2H8U4|Q2H8U4_CHAGB, tr|Q2HCB5|Q2HCB5_CHAGB	tr|A7UWS5|A7UWS5_NEUCR, tr|Q7S1S4|Q7S1S4_NEUCR, tr|Q7S3S5|Q7S3S5_NEUCR	tr|F7W158|F7W158_SORMK, tr|F7W2T7|F7W2T7_SORMK, tr|F7W581|F7W581_SORMK	tr|G0R8L8|G0R8L8_HYPJQ, tr|G0RRR9|G0RRR9_HYPJQ, tr|G0RUD2|G0RUD2_HYPJQ	Pa_0_600|chrm2|Putative, Pa_2_7030|chrm2|Putative, Pa_3_971|chrm3|Putative, Pa_6_10120|chrm6|Putative, Pa_6_11620|chrm6|Putative, Pa_7_2480|chrm7|Putative
Pa_0_610	OG0000289	tr|Q2GUK4|Q2GUK4_CHAGB, tr|Q2H796|Q2H796_CHAGB, tr|Q2HH15|Q2HH15_CHAGB	tr|Q7SDS2|Q7SDS2_NEUCR		tr|G0RUD3|G0RUD3_HYPJQ	Pa_0_610|chrm2|Putative, Pa_1_6090|chrm1|Putative, Pa_5_7550|chrm5|Putative, Pa_7_4130|chrm7|Putative, Pa_7_810|chrm7|Putative
Pa_0_680	OG0000518	tr|Q2GMI8|Q2GMI8_CHAGB, tr|Q2GRU4|Q2GRU4_CHAGB		tr|F7W2L4|F7W2L4_SORMK	tr|G0RII7|G0RII7_HYPJQ	Pa_0_680|chrm2|Putative, Pa_2_7260|chrm2|Putative, Pa_4_1000|chrm4|Putative, Pa_6_9160|chrm6|Putative
Pa_0_690	OG0001060	tr|Q2GMJ0|Q2GMJ0_CHAGB	tr|Q7S778|Q7S778_NEUCR	tr|F7W2K1|F7W2K1_SORMK	tr|G0RX63|G0RX63_HYPJQ	Pa_0_690|chrm2|Putative, Pa_6_8821|chrm6|Putative
Pa_0_710	OG0004644	tr|Q2GMJ2|Q2GMJ2_CHAGB	sp|P53444|ALF_NEUCR	tr|F7W865|F7W865_SORMK	tr|G0RU75|G0RU75_HYPJQ	Pa_0_710|chrm2|Putative
Pa_0_760	OG0009229					Pa_0_760|chrm2|Putative, Pa_4_5740|chrm4|Putative
Pa_0_770	OG0005820	tr|Q2HEP0|Q2HEP0_CHAGB	tr|Q7SET9|Q7SET9_NEUCR	tr|F7VQN9|F7VQN9_SORMK	tr|G0RVX9|G0RVX9_HYPJQ	Pa_0_770|chrm2|Putative
Pa_0_780	OG0009144				tr|G0RXG9|G0RXG9_HYPJQ	Pa_0_780|chrm2|Putative
Pa_0_785	OG0000364	tr|Q2GU89|Q2GU89_CHAGB, tr|Q2GWK4|Q2GWK4_CHAGB, tr|Q2GZA0|Q2GZA0_CHAGB	tr|Q7S383|Q7S383_NEUCR	tr|F7WBN2|F7WBN2_SORMK	tr|G0RJQ2|G0RJQ2_HYPJQ	Pa_0_785|chrm2|Putative, Pa_3_2000|chrm3|Putative, Pa_4_1950|chrm4|Putative
Pa_0_80	OG0000027	tr|Q2GMQ8|Q2GMQ8_CHAGB, tr|Q2GPH1|Q2GPH1_CHAGB, tr|Q2GRR0|Q2GRR0_CHAGB, tr|Q2GRX8|Q2GRX8_CHAGB, tr|Q2GTB0|Q2GTB0_CHAGB, tr|Q2H1I4|Q2H1I4_CHAGB, tr|Q2H292|Q2H292_CHAGB, tr|Q2HHR4|Q2HHR4_CHAGB	tr|Q7RWM0|Q7RWM0_NEUCR, tr|Q7S8A1|Q7S8A1_NEUCR, tr|V5IQ66|V5IQ66_NEUCR	tr|F7VMR5|F7VMR5_SORMK, tr|F7VNS0|F7VNS0_SORMK, tr|F7VUA0|F7VUA0_SORMK, tr|F7VY89|F7VY89_SORMK, tr|F7W3A3|F7W3A3_SORMK, tr|F7WBY0|F7WBY0_SORMK	tr|G0RDX2|G0RDX2_HYPJQ, tr|G0RXE4|G0RXE4_HYPJQ, tr|G0RXF7|G0RXF7_HYPJQ	Pa_0_80|chrm6|Putative, Pa_2_6840|chrm2|Putative, Pa_2_7060|chrm2|Putative, Pa_2_7920|chrm2|Putative, Pa_4_5500|chrm4|Putative, Pa_4_6210|chrm4|Putative, Pa_5_11030|chrm5|Putative, Pa_6_9560|chrm6|Putative, Pa_7_4850|chrm7|Putative
Pa_0_800	OG0005995		tr|Q1K6J9|Q1K6J9_NEUCR	tr|F7W2J8|F7W2J8_SORMK, tr|F7W2J9|F7W2J9_SORMK	tr|G0RVR4|G0RVR4_HYPJQ	Pa_0_800|chrm2|Putative
