Orthogroup	UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
OG0000298	tr|Q2H1X3|Q2H1X3_CHAGB	tr|V5IR88|V5IR88_NEUCR	tr|F7VRN6|F7VRN6_SORMK, tr|F7W9J8|F7W9J8_SORMK	tr|G0RBT1|G0RBT1_HYPJQ	Pa_5_1538|chrm5|Putative, Pa_5_630|chrm5|Putative, Pa_5_8000|chrm5|Putative, Pa_6_7980|chrm6|Putative, Pa_6_7990|chrm6|Putative
OG0000299	tr|Q2H9I4|Q2H9I4_CHAGB, tr|Q2HBF5|Q2HBF5_CHAGB	tr|Q1K704|Q1K704_NEUCR, tr|Q7RXZ8|Q7RXZ8_NEUCR	tr|F7VS49|F7VS49_SORMK, tr|F7W0R0|F7W0R0_SORMK	tr|G0REH4|G0REH4_HYPJQ, tr|G0RGT4|G0RGT4_HYPJQ	Pa_2_8630|chrm2|Putative, Pa_7_6860|chrm7|Putative
OG0000300	tr|Q2GMG2|Q2GMG2_CHAGB, tr|Q2GY86|Q2GY86_CHAGB	tr|Q1K7J3|Q1K7J3_NEUCR, tr|V5IKK0|V5IKK0_NEUCR	tr|F7VM71|F7VM71_SORMK, tr|F7VZ59|F7VZ59_SORMK	tr|G0RK14|G0RK14_HYPJQ, tr|G0RLT1|G0RLT1_HYPJQ	Pa_2_9710|chrm2|Putative, Pa_5_5220|chrm5|Putative
OG0000301	tr|Q2GXK8|Q2GXK8_CHAGB, tr|Q2H3V3|Q2H3V3_CHAGB	tr|Q1K628|Q1K628_NEUCR, tr|V5IRE8|V5IRE8_NEUCR	tr|F7VSM8|F7VSM8_SORMK, tr|F7VTQ5|F7VTQ5_SORMK	tr|G0RFS7|G0RFS7_HYPJQ, tr|G0RR22|G0RR22_HYPJQ	Pa_1_21180|chrm1|Putative, Pa_2_12130|chrm2|Putative
OG0000302	tr|Q2GPK6|Q2GPK6_CHAGB, tr|Q2GX83|Q2GX83_CHAGB	sp|Q9Y783|SODM_NEUCR, tr|V5IKH7|V5IKH7_NEUCR	tr|F7W0A9|F7W0A9_SORMK, tr|F7W5F4|F7W5F4_SORMK	tr|G0RP30|G0RP30_HYPJQ, tr|G0RQS7|G0RQS7_HYPJQ	Pa_2_4460|chrm2|Putative, Pa_5_1740|chrm5|Putative
OG0000303	tr|Q2GWR8|Q2GWR8_CHAGB	tr|Q7S110|Q7S110_NEUCR, tr|V5IQS6|V5IQS6_NEUCR	tr|F7W2U4|F7W2U4_SORMK, tr|F7W982|F7W982_SORMK	tr|G0RBF2|G0RBF2_HYPJQ, tr|G0RE81|G0RE81_HYPJQ, tr|G0RPF3|G0RPF3_HYPJQ	Pa_2_6540|chrm2|Putative, Pa_7_3680|chrm7|Putative
OG0000304	tr|Q2GMW4|Q2GMW4_CHAGB, tr|Q2GZK5|Q2GZK5_CHAGB	tr|Q7S9X7|Q7S9X7_NEUCR, tr|V5IQA2|V5IQA2_NEUCR	tr|F7VMJ7|F7VMJ7_SORMK, tr|F7VQ29|F7VQ29_SORMK	tr|G0RAX4|G0RAX4_HYPJQ, tr|G0RSB3|G0RSB3_HYPJQ	Pa_3_11290|chrm3|Putative, Pa_3_1780|chrm3|Putative
OG0000305	tr|Q2HAB3|Q2HAB3_CHAGB	tr|Q7SH50|Q7SH50_NEUCR, tr|V5IQ24|V5IQ24_NEUCR	tr|F7VQU7|F7VQU7_SORMK, tr|F7W1J4|F7W1J4_SORMK	tr|G0RBM4|G0RBM4_HYPJQ, tr|G0RFR3|G0RFR3_HYPJQ, tr|G0RIU1|G0RIU1_HYPJQ	Pa_1_16880|chrm1|Putative, Pa_1_6000|chrm1|Putative
OG0000306	tr|Q2H7Q2|Q2H7Q2_CHAGB, tr|Q2HE20|Q2HE20_CHAGB		tr|F7VQY8|F7VQY8_SORMK	tr|G0RBN5|G0RBN5_HYPJQ, tr|G0RCU4|G0RCU4_HYPJQ, tr|G0RKJ1|G0RKJ1_HYPJQ, tr|G0RRP2|G0RRP2_HYPJQ, tr|G0RU16|G0RU16_HYPJQ	Pa_1_5150|chrm1|Putative, Pa_7_300|chrm7|Putative
OG0000307	tr|Q2GXE7|Q2GXE7_CHAGB, tr|Q2H7J0|Q2H7J0_CHAGB	tr|Q1K658|Q1K658_NEUCR, tr|Q7SBQ5|Q7SBQ5_NEUCR	tr|F7VXC9|F7VXC9_SORMK, tr|F7W0S9|F7W0S9_SORMK	tr|G0RFA6|G0RFA6_HYPJQ, tr|G0RQR9|G0RQR9_HYPJQ	Pa_2_3890|chrm2|Putative, Pa_7_670|chrm7|Putative
OG0000308	tr|Q2H1W1|Q2H1W1_CHAGB, tr|Q2HEM4|Q2HEM4_CHAGB				Pa_1_17490|chrm1|Putative, Pa_1_4770|chrm1|Putative, Pa_1_6420|chrm1|Putative, Pa_2_4580|chrm2|Putative, Pa_2_4940|chrm2|Putative, Pa_5_1330|chrm5|Putative, Pa_5_3560|chrm5|Putative, Pa_6_6380|chrm6|Putative
OG0000309	tr|Q2GUD3|Q2GUD3_CHAGB	tr|Q7S5N1|Q7S5N1_NEUCR, tr|Q7S8B7|Q7S8B7_NEUCR	tr|F7VVJ8|F7VVJ8_SORMK, tr|F7W2C3|F7W2C3_SORMK, tr|F7W5K6|F7W5K6_SORMK	tr|G0R9U1|G0R9U1_HYPJQ	Pa_4_720|chrm4|Putative, Pa_5_11668|chrm5|Putative, Pa_6_1950|chrm6|Putative
OG0000310	tr|Q2GR99|Q2GR99_CHAGB, tr|Q2GUB1|Q2GUB1_CHAGB, tr|Q2H7U7|Q2H7U7_CHAGB	tr|V5IKJ7|V5IKJ7_NEUCR, tr|V5ILL6|V5ILL6_NEUCR	tr|F7VVJ1|F7VVJ1_SORMK, tr|F7WBI6|F7WBI6_SORMK	tr|G0RW21|G0RW21_HYPJQ	Pa_6_11270|chrm6|Putative, Pa_6_40|chrm6|Putative
OG0000311	tr|Q2GY77|Q2GY77_CHAGB, tr|Q2HH91|Q2HH91_CHAGB	tr|Q1K789|Q1K789_NEUCR, tr|Q7S4W0|Q7S4W0_NEUCR	tr|F7VVE7|F7VVE7_SORMK, tr|F7W470|F7W470_SORMK	tr|G0RIR9|G0RIR9_HYPJQ, tr|G0RM40|G0RM40_HYPJQ	Pa_2_12390|chrm2|Putative, Pa_5_5970|chrm5|Putative
OG0000312	tr|Q2GVU2|Q2GVU2_CHAGB, tr|Q2GW33|Q2GW33_CHAGB	tr|Q1K581|Q1K581_NEUCR, tr|V5INA0|V5INA0_NEUCR	tr|F7VPS6|F7VPS6_SORMK, tr|F7W6W6|F7W6W6_SORMK	tr|G0RH22|G0RH22_HYPJQ, tr|G0RJN3|G0RJN3_HYPJQ	Pa_2_5170|chrm2|Putative, Pa_3_8480|chrm3|Putative
OG0000313	tr|Q2GZ74|Q2GZ74_CHAGB, tr|Q2H6T6|Q2H6T6_CHAGB	tr|Q7S1D6|Q7S1D6_NEUCR, tr|U9WGI5|U9WGI5_NEUCR	tr|F7W7J8|F7W7J8_SORMK, tr|F7WA21|F7WA21_SORMK	tr|G0RJ44|G0RJ44_HYPJQ, tr|G0RU19|G0RU19_HYPJQ	Pa_3_2600|chrm3|Putative, Pa_7_10620|chrm7|Putative
OG0000314	tr|Q2GY49|Q2GY49_CHAGB, tr|Q2H3R7|Q2H3R7_CHAGB	sp|P28299|ACEA_NEUCR, tr|Q7SG83|Q7SG83_NEUCR	tr|F7VTH9|F7VTH9_SORMK, tr|F7VZ46|F7VZ46_SORMK	tr|G0RE21|G0RE21_HYPJQ, tr|G0RRP5|G0RRP5_HYPJQ	Pa_2_12610|chrm2|Putative, Pa_6_10010|chrm6|Putative
OG0000315	tr|Q2GWG6|Q2GWG6_CHAGB	tr|Q7SC48|Q7SC48_NEUCR	tr|F7VQ10|F7VQ10_SORMK	tr|G0RB24|G0RB24_HYPJQ, tr|G0RID2|G0RID2_HYPJQ, tr|G0RMG2|G0RMG2_HYPJQ, tr|G0RTJ2|G0RTJ2_HYPJQ	Pa_1_8770|chrm1|Putative, Pa_5_10030|chrm5|Putative, Pa_6_2850|chrm6|Putative
OG0000316	tr|Q2GPT0|Q2GPT0_CHAGB, tr|Q2H7L7|Q2H7L7_CHAGB, tr|Q2HF31|Q2HF31_CHAGB	tr|Q7S5Y0|Q7S5Y0_NEUCR	tr|F7VWL9|F7VWL9_SORMK, tr|F7W6T8|F7W6T8_SORMK	tr|G0RTQ9|G0RTQ9_HYPJQ, tr|G0RVU9|G0RVU9_HYPJQ	Pa_6_11610|chrm6|Putative, Pa_7_500|chrm7|Putative
OG0000317	tr|Q2H174|Q2H174_CHAGB, tr|Q2H1J0|Q2H1J0_CHAGB	tr|Q1K886|Q1K886_NEUCR, tr|Q7RZ57|Q7RZ57_NEUCR	tr|F7VU22|F7VU22_SORMK, tr|F7W8H6|F7W8H6_SORMK	tr|G0R8W0|G0R8W0_HYPJQ	Pa_1_22360|chrm1|Putative, Pa_2_7735|chrm2|Putative, Pa_6_1060|chrm6|Putative
OG0000318	tr|Q2H7B4|Q2H7B4_CHAGB, tr|Q2H8L6|Q2H8L6_CHAGB			tr|G0RFJ5|G0RFJ5_HYPJQ, tr|G0RM05|G0RM05_HYPJQ, tr|G0RM17|G0RM17_HYPJQ, tr|G0RP42|G0RP42_HYPJQ, tr|G0RPJ2|G0RPJ2_HYPJQ, tr|G0RSL2|G0RSL2_HYPJQ	Pa_6_520|chrm6|Putative, Pa_7_1260|chrm7|Putative
OG0000319	tr|Q2GYM6|Q2GYM6_CHAGB, tr|Q2H5S4|Q2H5S4_CHAGB, tr|Q2H8A1|Q2H8A1_CHAGB, tr|Q2HHL7|Q2HHL7_CHAGB	tr|Q1K5V0|Q1K5V0_NEUCR, tr|Q7SFT4|Q7SFT4_NEUCR	tr|F7VMI8|F7VMI8_SORMK, tr|F7VQY0|F7VQY0_SORMK, tr|F7W7A9|F7W7A9_SORMK		Pa_2_14190|chrm2|Putative
OG0000320	sp|Q2HA12|AMPP2_CHAGB, tr|Q2H854|Q2H854_CHAGB	sp|A7UWH7|AMPP2_NEUCR, tr|U9W8D5|U9W8D5_NEUCR	sp|D1ZBF6|AMPP3_SORMK, sp|D1ZQL9|AMPP2_SORMK	tr|G0RJX1|G0RJX1_HYPJQ, tr|G0RT10|G0RT10_HYPJQ	Pa_0_1330|chrm7|Putative, Pa_7_5850|chrm7|Putative
OG0000321	tr|Q2H158|Q2H158_CHAGB, tr|Q2H6L7|Q2H6L7_CHAGB	tr|Q7RYX3|Q7RYX3_NEUCR, tr|V5IM01|V5IM01_NEUCR	tr|F7W2B9|F7W2B9_SORMK, tr|F7W2Y2|F7W2Y2_SORMK	tr|G0RLC4|G0RLC4_HYPJQ, tr|G0RQA5|G0RQA5_HYPJQ	Pa_6_1210|chrm6|Putative, Pa_7_10150|chrm7|Putative
OG0000322	tr|Q2GUI0|Q2GUI0_CHAGB, tr|Q2HGL1|Q2HGL1_CHAGB	tr|Q1K8C4|Q1K8C4_NEUCR, tr|Q7S5Q8|Q7S5Q8_NEUCR	tr|F7VX97|F7VX97_SORMK, tr|F7W5N0|F7W5N0_SORMK	tr|G0RGI1|G0RGI1_HYPJQ, tr|G0RLW5|G0RLW5_HYPJQ	Pa_2_1400|chrm2|Putative, Pa_4_300|chrm4|Putative
OG0000323	tr|Q2GWW2|Q2GWW2_CHAGB, tr|Q2HGV7|Q2HGV7_CHAGB	tr|Q7S243|Q7S243_NEUCR, tr|Q7SAC5|Q7SAC5_NEUCR, tr|Q7SC88|Q7SC88_NEUCR	tr|F7VNU2|F7VNU2_SORMK, tr|F7VQ49|F7VQ49_SORMK, tr|F7VU48|F7VU48_SORMK		Pa_3_11460|chrm3|Putative, Pa_6_7700|chrm6|Putative
OG0000324	tr|Q2H2S6|Q2H2S6_CHAGB, tr|Q2HB14|Q2HB14_CHAGB	tr|F5H9K1|F5H9K1_NEUCR, tr|Q7S7B7|Q7S7B7_NEUCR	tr|F7VRH6|F7VRH6_SORMK, tr|F7W0G7|F7W0G7_SORMK	tr|G0RAZ7|G0RAZ7_HYPJQ, tr|G0RGU3|G0RGU3_HYPJQ	Pa_1_22530|chrm1|Putative, Pa_2_2690|chrm2|Putative
OG0000325	tr|Q2HGE5|Q2HGE5_CHAGB	tr|Q7S557|Q7S557_NEUCR, tr|Q7S7K3|Q7S7K3_NEUCR	tr|F7VR34|F7VR34_SORMK, tr|F7W4M8|F7W4M8_SORMK, tr|F7WBI9|F7WBI9_SORMK	tr|G0RKV1|G0RKV1_HYPJQ, tr|G0RKX8|G0RKX8_HYPJQ	Pa_2_1960|chrm2|Putative, Pa_6_7360|chrm6|Putative
OG0000326	tr|Q2H957|Q2H957_CHAGB, tr|Q2HFF5|Q2HFF5_CHAGB	tr|Q7RZT3|Q7RZT3_NEUCR, tr|Q7SCP2|Q7SCP2_NEUCR	tr|F7VV63|F7VV63_SORMK, tr|F7VYC7|F7VYC7_SORMK	tr|G0RK97|G0RK97_HYPJQ, tr|G0RRR2|G0RRR2_HYPJQ	Pa_1_6820|chrm1|Putative, Pa_7_6120|chrm7|Putative
OG0000327	tr|Q2GRV6|Q2GRV6_CHAGB, tr|Q2H5H3|Q2H5H3_CHAGB, tr|Q2HI13|Q2HI13_CHAGB	tr|Q7S5U9|Q7S5U9_NEUCR	tr|F7VWK8|F7VWK8_SORMK, tr|F7VWK9|F7VWK9_SORMK	tr|G0R6W1|G0R6W1_HYPJQ, tr|G0RHX8|G0RHX8_HYPJQ, tr|G0RT16|G0RT16_HYPJQ	Pa_4_6030|chrm4|Putative
OG0000328	tr|Q2H6G1|Q2H6G1_CHAGB, tr|Q2HFG2|Q2HFG2_CHAGB	sp|Q9UW86|PP1_NEUCR, tr|V5IQF0|V5IQF0_NEUCR	tr|F7VK92|F7VK92_SORMK, tr|F7W9C0|F7W9C0_SORMK	tr|G0RCY9|G0RCY9_HYPJQ, tr|G0RNP0|G0RNP0_HYPJQ	Pa_1_6920|chrm1|Putative, Pa_7_9720|chrm7|Putative
OG0000329	tr|Q2GV13|Q2GV13_CHAGB, tr|Q2H8L2|Q2H8L2_CHAGB	tr|Q7S3M1|Q7S3M1_NEUCR, tr|V5IP63|V5IP63_NEUCR	tr|F7VY42|F7VY42_SORMK, tr|F7W815|F7W815_SORMK	tr|G0R8C6|G0R8C6_HYPJQ, tr|G0RCW6|G0RCW6_HYPJQ	Pa_6_3850|chrm6|Putative, Pa_7_3310|chrm7|Putative
OG0000330	tr|Q2H4U2|Q2H4U2_CHAGB, tr|Q2HCZ3|Q2HCZ3_CHAGB	tr|Q7SEW7|Q7SEW7_NEUCR, tr|Q7SFA8|Q7SFA8_NEUCR	tr|F7VKH2|F7VKH2_SORMK, tr|F7VXS1|F7VXS1_SORMK	tr|G0RNP4|G0RNP4_HYPJQ	Pa_1_17090|chrm1|Putative, Pa_1_2000|chrm1|Putative, Pa_1_24440|chrm1|Putative
OG0000331	tr|Q2GNJ6|Q2GNJ6_CHAGB, tr|Q2GWY6|Q2GWY6_CHAGB	tr|Q1K8R8|Q1K8R8_NEUCR	tr|F7VZH1|F7VZH1_SORMK	tr|G0R9X1|G0R9X1_HYPJQ, tr|G0RCG0|G0RCG0_HYPJQ, tr|G0RDA9|G0RDA9_HYPJQ	Pa_2_7840|chrm2|Putative, Pa_3_9420|chrm3|Putative, Pa_6_9045|chrm6|Putative
OG0000332	tr|Q2GRN3|Q2GRN3_CHAGB	tr|Q1K5B5|Q1K5B5_NEUCR, tr|Q7RYR0|Q7RYR0_NEUCR, tr|Q7S3A7|Q7S3A7_NEUCR	tr|F7VR96|F7VR96_SORMK, tr|F7W9G0|F7W9G0_SORMK, tr|F7WAR0|F7WAR0_SORMK	tr|G0RGL8|G0RGL8_HYPJQ, tr|G0RMS4|G0RMS4_HYPJQ	Pa_6_9510|chrm6|Putative
OG0000333	tr|Q2GQ24|Q2GQ24_CHAGB, tr|Q2HBK4|Q2HBK4_CHAGB	tr|Q7S3E8|Q7S3E8_NEUCR, tr|V5IKV7|V5IKV7_NEUCR	tr|F7W3E0|F7W3E0_SORMK, tr|F7W5A2|F7W5A2_SORMK		Pa_2_7240|chrm2|Putative, Pa_5_11880|chrm5|Putative, Pa_5_1990|chrm5|Putative, Pa_6_8450|chrm6|Putative
OG0000334	tr|Q2GPB9|Q2GPB9_CHAGB	sp|Q9P6C8|ADH1_NEUCR, tr|Q7SG88|Q7SG88_NEUCR	tr|F7VPK8|F7VPK8_SORMK, tr|F7VTI5|F7VTI5_SORMK, tr|F7VTY4|F7VTY4_SORMK	tr|G0RSG5|G0RSG5_HYPJQ	Pa_0_1110|chrm2|Putative, Pa_1_22350|chrm1|Putative, Pa_3_7460|chrm3|Putative
OG0000335	tr|Q2H8E4|Q2H8E4_CHAGB	tr|Q1K8P4|Q1K8P4_NEUCR, tr|Q1K8P5|Q1K8P5_NEUCR, tr|Q7S0T4|Q7S0T4_NEUCR	tr|F7VJY9|F7VJY9_SORMK, tr|F7VJZ0|F7VJZ0_SORMK, tr|F7VJZ1|F7VJZ1_SORMK, tr|F7VJZ2|F7VJZ2_SORMK, tr|F7VJZ3|F7VJZ3_SORMK, tr|F7W5C5|F7W5C5_SORMK		
OG0000336	tr|Q2H7Z6|Q2H7Z6_CHAGB	tr|Q7RZV0|Q7RZV0_NEUCR	tr|F7VYB1|F7VYB1_SORMK, tr|F7VZQ2|F7VZQ2_SORMK	tr|G0RDW7|G0RDW7_HYPJQ, tr|G0RFP3|G0RFP3_HYPJQ, tr|G0RI61|G0RI61_HYPJQ, tr|G0RP85|G0RP85_HYPJQ, tr|G0RT14|G0RT14_HYPJQ	Pa_7_4520|chrm7|Putative
OG0000337		tr|A7UX80|A7UX80_NEUCR, tr|Q7S0Z2|Q7S0Z2_NEUCR, tr|V5ILV0|V5ILV0_NEUCR, tr|V5IMP5|V5IMP5_NEUCR	tr|F7VQ51|F7VQ51_SORMK, tr|F7VRU1|F7VRU1_SORMK, tr|F7W061|F7W061_SORMK, tr|F7W969|F7W969_SORMK	tr|G0RAW6|G0RAW6_HYPJQ	Pa_5_925|chrm5|Putative
OG0000338		tr|Q7SF48|Q7SF48_NEUCR, tr|V5IMU6|V5IMU6_NEUCR	tr|F7VLT5|F7VLT5_SORMK	tr|G0RBG1|G0RBG1_HYPJQ, tr|G0RK44|G0RK44_HYPJQ, tr|G0RMR9|G0RMR9_HYPJQ, tr|G0RUI4|G0RUI4_HYPJQ	Pa_1_17970|chrm1|Putative, Pa_1_7700|chrm1|Putative, Pa_4_1880|chrm4|Putative
OG0000339		tr|Q7RYQ2|Q7RYQ2_NEUCR, tr|Q7S334|Q7S334_NEUCR, tr|Q7S336|Q7S336_NEUCR, tr|Q7S337|Q7S337_NEUCR, tr|U9WGB2|U9WGB2_NEUCR	tr|F7VYP1|F7VYP1_SORMK, tr|F7WB61|F7WB61_SORMK, tr|F7WB62|F7WB62_SORMK, tr|F7WB66|F7WB66_SORMK	tr|G0RT63|G0RT63_HYPJQ	
OG0000340		tr|Q7S343|Q7S343_NEUCR, tr|Q7S6U7|Q7S6U7_NEUCR	tr|F7VMV0|F7VMV0_SORMK, tr|F7WB55|F7WB55_SORMK	tr|G0R844|G0R844_HYPJQ, tr|G0RD80|G0RD80_HYPJQ, tr|G0RFW5|G0RFW5_HYPJQ, tr|G0RKE5|G0RKE5_HYPJQ, tr|G0RUV1|G0RUV1_HYPJQ	Pa_5_5510|chrm5|Putative
OG0000341					Pa_mito_orf248|mitoS|Dod, Pa_mito_orf294|mitoS|Dod, Pa_mito_orf296b|mitoS|Putative, Pa_mito_orf312|mitoS|Putative, Pa_mito_orf313a|mitoS|Dod, Pa_mito_orf318|mitoS|Dod, Pa_mito_orf326|mitoS|Dod, Pa_mito_orf354|mitoS|Putative, Pa_mito_orf361|mitoS|Dod, Pa_mito_orf365|mitoS|Dod
OG0000342	tr|Q2GM90|Q2GM90_CHAGB, tr|Q2H1X2|Q2H1X2_CHAGB, tr|Q2H1Y3|Q2H1Y3_CHAGB, tr|Q2H277|Q2H277_CHAGB	tr|Q1K8L5|Q1K8L5_NEUCR	tr|F7VZE4|F7VZE4_SORMK, tr|F7W6T9|F7W6T9_SORMK	tr|G0REK5|G0REK5_HYPJQ	Pa_7_3125|chrm7|Putative
OG0000343	tr|Q2GPI9|Q2GPI9_CHAGB, tr|Q2H3F0|Q2H3F0_CHAGB, tr|Q2HHK5|Q2HHK5_CHAGB	tr|Q7SAD6|Q7SAD6_NEUCR	tr|F7VNV2|F7VNV2_SORMK	tr|G0RHC4|G0RHC4_HYPJQ, tr|G0RKQ2|G0RKQ2_HYPJQ	Pa_5_1810|chrm5|Putative, Pa_6_6230|chrm6|Putative
OG0000344	tr|Q2GQ50|Q2GQ50_CHAGB, tr|Q2GRD3|Q2GRD3_CHAGB	tr|Q7S5F6|Q7S5F6_NEUCR	tr|F7W5N4|F7W5N4_SORMK, tr|F7W6M6|F7W6M6_SORMK	tr|G0RS64|G0RS64_HYPJQ, tr|G0RXG7|G0RXG7_HYPJQ	Pa_5_3540|chrm5|Putative, Pa_7_120|chrm7|Putative
OG0000345	tr|Q2GW98|Q2GW98_CHAGB, tr|Q2GWI6|Q2GWI6_CHAGB, tr|Q2HGH1|Q2HGH1_CHAGB	tr|Q7SHI8|Q7SHI8_NEUCR	tr|F7VLD7|F7VLD7_SORMK, tr|F7W4L9|F7W4L9_SORMK		Pa_2_1700|chrm2|Putative, Pa_4_1020|chrm4|Putative, Pa_5_9980|chrm5|Putative
OG0000346	tr|Q2H516|Q2H516_CHAGB, tr|Q2HFJ4|Q2HFJ4_CHAGB	tr|Q1K8M7|Q1K8M7_NEUCR		tr|G0R9C6|G0R9C6_HYPJQ, tr|G0RE95|G0RE95_HYPJQ, tr|G0RI68|G0RI68_HYPJQ, tr|G0RM19|G0RM19_HYPJQ, tr|G0RTS5|G0RTS5_HYPJQ	Pa_4_2280|chrm4|Putative
OG0000347	tr|Q2GSN8|Q2GSN8_CHAGB, tr|Q2GVH7|Q2GVH7_CHAGB	tr|Q1K8M3|Q1K8M3_NEUCR, tr|Q7S495|Q7S495_NEUCR	tr|F7VVM4|F7VVM4_SORMK, tr|F7WB42|F7WB42_SORMK		Pa_3_5530|chrm3|Putative, Pa_4_1520|chrm4|Putative, Pa_6_8120|chrm6|Putative
OG0000348	tr|Q2GN05|Q2GN05_CHAGB, tr|Q2H8E3|Q2H8E3_CHAGB	tr|Q7S0U0|Q7S0U0_NEUCR	tr|F7VJY5|F7VJY5_SORMK	tr|G0RK85|G0RK85_HYPJQ, tr|G0RRB0|G0RRB0_HYPJQ, tr|G0RUA9|G0RUA9_HYPJQ	Pa_4_3810|chrm4|Putative, Pa_6_10300|chrm6|Putative
OG0000349	tr|Q2GQU1|Q2GQU1_CHAGB, tr|Q2H1M7|Q2H1M7_CHAGB, tr|Q2HHQ9|Q2HHQ9_CHAGB	tr|Q7SAD4|Q7SAD4_NEUCR, tr|Q7SCE6|Q7SCE6_NEUCR	tr|F7VNV3|F7VNV3_SORMK, tr|F7VQ15|F7VQ15_SORMK	tr|G0RK77|G0RK77_HYPJQ	Pa_6_7570|chrm6|Putative
OG0000350	tr|Q2GMH6|Q2GMH6_CHAGB, tr|Q2GS08|Q2GS08_CHAGB, tr|Q2GUQ9|Q2GUQ9_CHAGB, tr|Q2GYJ2|Q2GYJ2_CHAGB, tr|Q2GZI5|Q2GZI5_CHAGB, tr|Q2H5K5|Q2H5K5_CHAGB, tr|Q2HAQ4|Q2HAQ4_CHAGB, tr|Q2HH10|Q2HH10_CHAGB, tr|Q2HI78|Q2HI78_CHAGB				
OG0000351	tr|Q2GSJ0|Q2GSJ0_CHAGB	tr|Q7SGH6|Q7SGH6_NEUCR, tr|Q7SGZ9|Q7SGZ9_NEUCR, tr|V5IQC6|V5IQC6_NEUCR	tr|F7VKI1|F7VKI1_SORMK, tr|F7VKI2|F7VKI2_SORMK, tr|F7VL04|F7VL04_SORMK, tr|F7WBE9|F7WBE9_SORMK	tr|G0RQV2|G0RQV2_HYPJQ	
OG0000352	tr|Q2GQ88|Q2GQ88_CHAGB, tr|Q2GTB9|Q2GTB9_CHAGB, tr|Q2GYV0|Q2GYV0_CHAGB, tr|Q2HHP7|Q2HHP7_CHAGB			tr|G0RVB7|G0RVB7_HYPJQ, tr|G0RVU4|G0RVU4_HYPJQ	Pa_1_16310|chrm1|Putative, Pa_1_4320|chrm1|Putative, Pa_3_9960|chrm3|Putative
OG0000353	tr|Q2GRH6|Q2GRH6_CHAGB, tr|Q2H215|Q2H215_CHAGB	tr|Q7S5V3|Q7S5V3_NEUCR, tr|Q7S620|Q7S620_NEUCR, tr|Q7S9R7|Q7S9R7_NEUCR, tr|V5IKN2|V5IKN2_NEUCR	tr|F7VWK2|F7VWK2_SORMK, tr|F7VWN6|F7VWN6_SORMK		Pa_6_340|chrm6|Putative
OG0000354	tr|Q2GU01|Q2GU01_CHAGB, tr|Q2H7E9|Q2H7E9_CHAGB, tr|Q2HC73|Q2HC73_CHAGB	tr|Q7S8P7|Q7S8P7_NEUCR, tr|V5IKR1|V5IKR1_NEUCR	tr|F7WAH7|F7WAH7_SORMK	tr|G0RVJ6|G0RVJ6_HYPJQ, tr|G0RXF1|G0RXF1_HYPJQ	Pa_5_2840|chrm5|Putative
OG0000355	tr|Q2H795|Q2H795_CHAGB, tr|Q2HCG1|Q2HCG1_CHAGB	tr|A7UXD9|A7UXD9_NEUCR, tr|Q7SFH1|Q7SFH1_NEUCR	tr|F7VR52|F7VR52_SORMK, tr|F7W8C4|F7W8C4_SORMK	tr|G0RKN5|G0RKN5_HYPJQ	Pa_1_850|chrm1|Putative, Pa_7_1230|chrm7|Putative
OG0000356	tr|Q2GRY2|Q2GRY2_CHAGB, tr|Q2HCX6|Q2HCX6_CHAGB	tr|Q7RWL7|Q7RWL7_NEUCR, tr|Q7SCV1|Q7SCV1_NEUCR	tr|F7VKE5|F7VKE5_SORMK, tr|F7VMS4|F7VMS4_SORMK	tr|G0RN02|G0RN02_HYPJQ	Pa_1_1810|chrm1|Putative, Pa_4_6290|chrm4|Putative
OG0000357	tr|Q2HH83|Q2HH83_CHAGB	sp|Q7S232|MCA1A_NEUCR, sp|Q7S4N5|MCA1B_NEUCR	tr|F7VKN6|F7VKN6_SORMK, tr|F7VVB4|F7VVB4_SORMK	tr|G0RHX3|G0RHX3_HYPJQ, tr|G0RPP5|G0RPP5_HYPJQ	Pa_1_690|chrm1|Putative, Pa_5_5940|chrm5|Putative
OG0000358	tr|Q2GU82|Q2GU82_CHAGB	tr|Q7S4S0|Q7S4S0_NEUCR, tr|U9W4G0|U9W4G0_NEUCR	tr|F7W5S5|F7W5S5_SORMK, tr|F7WB69|F7WB69_SORMK	tr|G0R7X3|G0R7X3_HYPJQ, tr|G0RMK3|G0RMK3_HYPJQ	Pa_4_1340|chrm4|Putative, Pa_7_760|chrm7|Putative
OG0000359	tr|Q2H1W9|Q2H1W9_CHAGB	tr|Q1K5Y3|Q1K5Y3_NEUCR, tr|Q7RWG1|Q7RWG1_NEUCR, tr|V5IPN1|V5IPN1_NEUCR	tr|F7VQY5|F7VQY5_SORMK, tr|F7W5Z9|F7W5Z9_SORMK, tr|F7W600|F7W600_SORMK, tr|F7W601|F7W601_SORMK, tr|F7W602|F7W602_SORMK		
OG0000360	tr|Q2HI49|Q2HI49_CHAGB		tr|F7W9T3|F7W9T3_SORMK	tr|G0R9J3|G0R9J3_HYPJQ, tr|G0RGG4|G0RGG4_HYPJQ, tr|G0RLR7|G0RLR7_HYPJQ, tr|G0RVK2|G0RVK2_HYPJQ	Pa_1_15310|chrm1|Putative, Pa_6_7260|chrm6|Putative, Pa_6_7960|chrm6|Putative
